"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"1",21,"19.670232928404,-155.146069964829","19.669900190397,-155.09853502836","19.6245988089004,-155.098888508901","19.6249314552277,-155.146414609298","19.647416,-155.122477"
"2",41,"19.4010954532288,-155.575478990721","19.4008389465684,-155.527995989566","19.3555606408729,-155.528269332866","19.3558170779451,-155.575743517052","19.378329,-155.551872"
"3",43,"22.0709267952389,-159.688496634707","22.0714016670092,-159.640491211279","22.0258419060971,-159.6399954788","22.0253671837141,-159.687991890885","22.048385,-159.664244"
"4",52,"21.5350697686065,-158.245460083097","21.5352871567536,-158.197558486922","21.4897912029498,-158.197334147028","21.4895738812534,-158.245226770025","21.512431,-158.221395"
"5",57,"19.8107146077099,-156.001160387818","19.8105333414323,-155.953597115888","19.7652183296683,-155.953791754748","19.7653995455969,-156.001346179734","19.787967,-155.977474"
"6",84,"21.3095631699507,-157.717865930355","21.3096865964692,-157.670008428618","21.2642166046008,-157.669883031427","21.2640932153524,-157.717731576359","21.28689,-157.693872"
"7",93,"20.6733141164764,-156.236278099365","20.6731742489723,-156.188545791719","20.6277742621526,-156.188697264351","20.6279140888736,-156.236420662005","20.650545,-156.212485"
"8",105,"19.8085225639268,-155.525531323162","19.8082569913945,-155.477968923731","19.7629426118679,-155.478252029511","19.7632081106442,-155.525805582484","19.785733,-155.501889"
"9",114,"21.2195812567284,-156.952160056748","21.2195684960935,-156.904320116847","21.1741086358231,-156.904338017447","21.1741213926236,-156.952169007049","21.196845,-156.928247"
"10",133,"19.9424533352248,-155.19158755424","19.9421284787342,-155.143999403652","19.8968020739553,-155.144344818297","19.897126839535,-155.191924112998","19.919628,-155.167964"
"11",157,"20.8556243251663,-156.522316205384","20.8555352136318,-156.474547954329","20.810115701287,-156.47464611315","20.8102047865745,-156.522405440741","20.83287,-156.498479"
"12",169,"19.9454698909408,-155.715064756213","19.9452378461959,-155.667475408494","19.8999105711888,-155.667723404827","19.9001425509841,-155.71530389599","19.922691,-155.691392"
"13",197,"19.8068026732977,-155.240158572758","19.8064865189072,-155.192596854843","19.7611726310537,-155.19293303807","19.7614886976497,-155.240485909908","19.783988,-155.216544"
"14",217,"19.4470969779306,-155.717690407197","19.4468656374898,-155.670198300631","19.4015832374754,-155.670445284588","19.4018145149879,-155.71792857075","19.424341,-155.694066"
"15",233,"19.9011759195597,-155.953207620821","19.9009861166744,-155.905626717639","19.8556627776898,-155.905830354901","19.8558525275824,-155.953402404592","19.87842,-155.929517"
"16",272,"19.0853810354088,-155.814436772706","19.085166981276,-155.767014964803","19.0399147338741,-155.767243627826","19.040128730994,-155.814656641382","19.062648,-155.790838"
"17",276,"21.1739725633513,-157.286985840511","21.1740193382497,-157.239154897786","21.1285646445527,-157.239110163061","21.1285178836745,-157.286932158861","21.151269,-157.263046"
"18",277,"19.6695590293433,-155.05100022336","19.6692094452951,-155.003465553116","19.6239082541145,-155.003836705581","19.6242577418453,-155.0513625399","19.646734,-155.027416"
"19",297,"19.4905868399516,-155.384947686601","19.4902965368749,-155.33744746802","19.4450107194127,-155.337756307987","19.4453009433243,-155.385247703283","19.467799,-155.36135"
"20",306,"21.1740576086319,-156.808676061681","21.1740193382497,-156.760845102214","21.1285646445527,-156.760889836939","21.1286029034638,-156.808711849473","21.151312,-156.784781"
