"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"1","1003","18.0441960794117,-65.885995259304","18.0440407736667,-65.8387645114543","17.9988728744068,-65.8389328821413","17.9990281412904,-65.8861516037871","18.157764,-66.14554"
"2","1005","18.4509792151563,-67.0207366786606","18.4511002848437,-66.9733971965557","18.4059329216942,-66.9732763778393","18.4058118830377,-67.0206037782545","17.977414,-66.523607"
"3","1007","18.2705403615921,-66.0743769624053","18.2704309340949,-66.0270857085746","18.2252635468199,-66.027206280958","18.2253729465659,-66.0744854776844","18.334401,-65.199007"
"4","101","18,-66.5","17.9999942493414,-66.452780721151","17.954825857343,-66.4527927416575","17.9548316065664,-66.5","18.382714,-67.186162"
"5","1023","18.1350378642327,-66.0747023423276","18.1349285197465,-66.0274472413752","18.0897608248885,-66.027567629503","18.0898701418657,-66.0748106917762","18.11285,-66.334627"
"6","1026","18.4050337793711,-67.2572396397406","18.4052124547244,-67.2099126400722","18.3600453111346,-67.209731505953","18.3598666814537,-67.2570464304035","18.47419,-66.66571"
"7","1028","18.0902441215014,-66.31102670838","18.0901923396593,-66.263783431469","18.045024378979,-66.2638435951633","18.0450761478283,-66.3110748393635","18.154046,-65.247592"
"8","1037","18.4967002146059,-66.7367594244176","18.4967521151058,-66.6894075765836","18.4515845644262,-66.6893592241518","18.4515326772644,-66.7366989839134","18.021823,-67.043089"
"9","1043","17.9541359518558,-67.0192784957016","17.9542566851264,-66.9720715738747","17.909088195295,-66.9719514307649","17.9089674920734,-67.0191463384606","18.067118,-66.995991"
"10","1049","17.9990281412904,-65.8861516037871","17.9988728744068,-65.8389328821413","17.9537047622601,-65.8391011671058","17.9538599903964,-65.8863078686705","18.383405,-66.949555"
"11","1051","18.1342091497894,-65.7911727799257","18.1340307464868,-65.7439181392563","18.0888632774833,-65.7441107583099","18.0890416359058,-65.7913533606519","18.338342,-66.097869"
"12","1053","18.3607655939359,-66.9731556207769","18.3608750771784,-66.9258402342796","18.3157077292679,-66.9257316082352","18.3155982739386,-66.9730349253213","18.429092,-66.476333"
"13","1055","18.3608750771784,-66.0741597657204","18.3607655939359,-66.0268443792231","18.3155982739386,-66.0269650746787","18.3157077292679,-66.0742683917648","18.337858,-67.091368"
"14","1058","18.2701775233073,-67.067496608398","18.2703099879921,-67.0202054837435","18.2251426313892,-67.0200728543029","18.2250102002973,-67.0673519219519","18.203254,-66.476363"
"15","1060","18.1806717278052,-66.5","18.1806659713635,-66.4527325778461","18.135498262801,-66.4527446228735","18.1355040177905,-66.5","18.337374,-65.766705"
"16","1067","18.2697110180288,-65.79063048513","18.2695324792954,-65.7433396926396","18.2243653198639,-65.7435326064963","18.2245438133219,-65.7908113422352","18.022583,-66.523613"
"17","1069","18.0451451729839,-66.5944626048297","18.045162429277,-66.5472313054788","17.9999942493414,-66.547219278849","17.9999769973666,-66.5944385515749","18.111871,-67.137864"
"18","107","18.3598666814537,-65.7429535695965","18.3596765274756,-65.6956387437149","18.3145094851298,-65.6958439234654","18.3146995906307,-65.7431466803648","17.977414,-66.476393"
"19","1075","17.9544636566347,-66.8776575527864","17.9545498948329,-66.8304504657615","17.909381332024,-66.8303663653068","17.9092951152898,-66.8775614380743","18.33719,-65.719396"
"20","1083","18.134807665392,-65.9801922017944","18.1346753011924,-65.9329372297222","18.0895076700384,-65.9330816950628","18.0896400009383,-65.9803246285544","18.203081,-66.760004"
"21","1085","18.3609730359265,-66.878524792336","18.3610594701611,-66.8312093011068","18.3158920752384,-66.8311248140074","18.3158056630409,-66.8784282357453","17.977092,-66.854099"
"22","1087","18.451307833073,-66.1212819465878","18.4512098241564,-66.0739423472505","18.4060424329312,-66.0740510842298","18.4061404167272,-66.1213786017876","18.021823,-65.956911"
"23","109","18.2256320514954,-66.7836766248076","18.2256953883131,-66.7363972436836","18.1805278168178,-66.736336987931","18.1804644960201,-66.7836043179561","18.338342,-66.902131"
"24","1092","18.3161513120835,-66.4053928179431","18.3161225079709,-66.3580892423048","18.2709550348241,-66.3581254326878","18.2709838316122,-66.405416944873","18.383509,-66.097766"
"25","1101","18.3611977650243,-66.7365781954339","18.3612496256259,-66.6892625933116","18.3160821822211,-66.6892143148655","18.316030334842,-66.7365178474116","18.293578,-66.429054"
"26","1117","18.1799751997027,-67.0199402924741","18.1800960845507,-66.9726732081241","18.1349285197465,-66.9725527586248","18.134807665392,-67.0198077982056","18.248387,-66.618214"
"27","1119","18.2707995322488,-66.2162510314614","18.270724660687,-66.1689596299999","18.2255571989215,-66.1690440309481","18.2256320514954,-66.2163233751924","18.337547,-67.185986"
"28","1122","18.1795434687699,-67.1617411155966","18.1796988917856,-67.114474252352","18.1345314271733,-67.1143176687046","18.1343760433623,-67.161572487349","18.067739,-66.429144"
"29","1131","18.4505468240955,-65.8372453069307","18.4503796331702,-65.7899061333292","18.4052124547244,-65.7900873599278","18.4053796027993,-65.8374144520756","17.976655,-67.042951"
"30","1133","18.0899679518492,-66.8779461907581","18.0900542548199,-66.8307030242325","18.0448863287868,-66.8306187951916","18.0448000474703,-66.8778499290908","18.383163,-65.955802"
"31","115","17.999631958217,-66.8777537164461","17.9997182179427,-66.8305346090456","17.9545498948329,-66.8304504657615","17.9544636566347,-66.8776575527864","18.203139,-66.71273"
"32","1151","18.0899679518492,-66.1220538092419","18.0898701418657,-66.0748106917762","18.0447022620283,-66.0749189860325","18.0448000474703,-66.1221500709092","18.518792,-66.997257"
"33","1154","18.4503796331702,-67.2100938666708","18.4505468240955,-67.1627546930693","18.4053796027993,-67.1625855479244","18.4052124547244,-67.2099126400722","18.289546,-65.246634"
"34","1156","18.0450761478283,-66.3110748393635","18.045024378979,-66.2638435951633","17.9998562335893,-66.2639037282184","17.999907989484,-66.3111229458357","18.157568,-66.948982"
"35","1158","18.5411814276248,-67.0683662791622","18.5413140959307,-67.0210026831383","18.4961466102287,-67.0208696469379","18.496013976106,-67.0682211489794","18.293416,-66.239864"
"36","1163","18.3606445862203,-65.9795290543325","18.3605120540554,-65.9322137972092","18.3153447986984,-65.9323586313412","18.3154772970742,-65.9796618191522","18.156325,-65.672931"
"37","1165","18.1353601431063,-66.7362767628879","18.1354119379793,-66.6890214471337","18.0902441215014,-66.68897329162","18.0901923396593,-66.736216568531","18.067578,-66.240195"
"38","1168","18.1773560480647,-65.3655959944345","18.1770739878687,-65.3183304147885","18.1319071853232,-65.3186315282688","18.1321891743818,-65.3658850642955","18.248353,-66.334501"
"39","1171","17.9542566851264,-66.9720715738747","17.9543659200597,-66.9248645908635","17.9091974030407,-66.9247564619316","17.909088195295,-66.9719514307649","18.42908,-66.571001"
