"id","species_code","family","genus","species","common_name","species_code_6"
1,ANPA,Vespertilionidae,Antrozous,Antrozous pallidus,Pallid bat,ANTPAL
2,CHME,Phyllostomidae,Choeronycteris,Choeronycteris mexicana,Mexican long-tongued bat,CHOMEX
3,CORA,Vespertilionidae,Corynorhinus,Corynorhinus rafinesquii,Rafinesque's big-eared bat,CORRAF
4,COTO,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,Townsend's big-eared bat,CORTO
5,EPFU,Vespertilionidae,Eptesicus,Eptesicus fuscus,Big brown bat,EPTFUS
6,EUMA,Vespertilionidae,Euderma,Euderma maculatum,Spotted bat,EUDMAC
7,EUFL,Molossidae,Eumops,Eumops floridanus,Florida bonneted bat,EUMFLO
8,EUPE,Molossidae,Eumops,Eumops perotis,Greater mastiff bat,EUMPER
9,EUUN,Molossidae,Eumops,Eumops underwoodi,Underwood's mastiff bat,EUMUND
10,IDPH,Vespertilionidae,Idionycteris,Idionycteris phyllotis,Allen's big-eared bat,IDIPHY
11,LANO,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,Silver-haired bat,LASNOC
12,LABL,Vespertilionidae,Lasiurus,Lasiurus blossevillii,Western red bat,LASBLO
13,LABO,Vespertilionidae,Lasiurus,Lasiurus borealis,Eastern red bat,LASBOR
14,LACI,Vespertilionidae,Lasiurus,Lasiurus cinereus,Hoary bat,LASCIN
15,LAEG,Vespertilionidae,Lasiurus,Lasiurus ega,Southern yellow bat,LASEGA
16,LAIN,Vespertilionidae,Lasiurus,Lasiurus intermedius,Northern yellow bat,LASINT
17,LASE,Vespertilionidae,Lasiurus,Lasiurus seminolus,Seminole bat,LASSEM
18,LAXA,Vespertilionidae,Lasiurus,Lasiurus xanthinus,Western yellow bat,LASXAN
19,LENI,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Greater long-nosed bat,LEPNIV
20,LEYE,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Lesser long-nosed bat,LEPYER
21,MACA,Phyllostomidae,Macrotus,Macrotus californicus,California leaf-nosed bat,MACCAL
